State,Date of Expansion,Notes,Trigger Law?,FIPS
Alabama,N/A,,N,01
Alaska,9/1/15,,N,02
Arizona,1/1/14,,Y,04
Arkansas,1/1/14,,Y,05
California,1/1/14,,N,06
Colorado,1/1/14,,N,08
Connecticut,1/1/14,,N,09
Delaware,1/1/14,,N,10
Florida,N/A,,N,12
Georgia,N/A,,N,13
Hawaii,1/1/14,,N,15
Idaho,1/1/20,Enrollment began 11/1/2019,Y,16
Illinois,1/1/14,,N,17
Indiana,2/1/15,,Y,18
Iowa,1/1/14,,Y,19
Kansas,N/A,,N,20
Kentucky,1/1/14,,N,21
Louisiana,7/1/16,,N,22
Maine,1/1/14,,N,23
Maryland,,,,24
Massachussets,1/1/14,,N,25
Michigan,4/1/14,,N,26
Minnesota,1/1/14,,N,27
Mississippi,N/A,,N,28
Missouri,10/1/21,Applications began 7/1/2021,N,29
Montana,1/1/16,,Y,30
Nebraska,10/1/20,,N,31
Nevada,1/1/14,,N,32
New Hampshire,8/15/14,,N,33
New Jersey,1/1/14,,N,34
New Mexico,1/1/14,,Y,35
New York,1/1/14,,N,36
North Carolina,12/1/23,,N,37
North Dakota,1/1/14,,N,38
Ohio,1/1/14,,Y,39
Oklahoma,7/1/21,,N,40
Oregon,1/1/14,,N,41
Pennsylavnia,1/1/15,,N,42
Rhode Island,1/1/14,,N,44
South Carolina,N/A,,N,45
South Dakota,7/1/23,,N,46
Tennessee,N/A,,N,47
Texas,N/A,,N,48
Utah,1/1/20,,Y,49
Vermont,1/1/14,,N,50
Virginia,1/1/19,Enrollment began 11/1/2018,Y,51
Washington,1/1/14,,N,53
West Virginia,1/1/14,,N,54
Wisconsin,N/A,,N,55
Wyoming,N/A,,N,56
